file,title,file_caption_en,file_caption_nl,depicts_P180,depicts_P180_label_en,depicts_P180_description_en,depicts_P180_label_nl,depicts_P180_description_nl,categories,wikidata_usage,wikidata_label
https://commons.wikimedia.org/entity/M65127848,"File:Jongelui gaan per auto naar Kaapstad Reis van 18000 km Twee Amsterdamse vrijgeze, Bestanddeelnr 905-1033.jpg",,,,,,,,Photographs by Daan Noske in Amsterdam (1952); Vertrek Kaapstad expedition,,
https://commons.wikimedia.org/entity/M151185900,File:Nederlandsche Commissie voor de Koloniën van de Tentoonstelling De Vrouw 1813-1913.jpg,,Nederlandsche Commissie voor de Koloniën van de Tentoonstelling De Vrouw 1813-1913,,,,,,"Bobbin furniture in portrait photographs; Corrie van der Linde; De Vrouw 1813-1913; E.M.L. van Deventer-Maas; Gedenkboek van de tentoonstelling De Vrouw, 1813-1913; Josephine Baerveldt-Haver; N. van Zuylen-Tromp",,
https://commons.wikimedia.org/entity/M129567017,File:Opekta jam reclame.jpg,,Reclame voor inmaakpakket voor jam van Opekta,,,,,,Advertisements in the Netherlands; Opekta; Opekta Nederland,,
https://commons.wikimedia.org/entity/M99453905,File:Oud-Holland vol 058 Onbekende Meesters - Onbekende Werken ill 010 Portret van een staatsman.jpg,,,,,,,,Oud-Holland; Stephanus Greeve (1760–1815),,
https://commons.wikimedia.org/entity/M78258043,File:Oude Kunst vol 002 no 002 p 056 L'Ivrogne by Daumier.jpg,The Drunkard - lithograph by Honoré Daumier from 1834,De Dronkaard - lithografie van Honoré Daumier uit 1834,,,,,,Articles by Theo van Doesburg in Oude Kunst; Honoré Daumier,Q138794489,The Drunkard - Honoré Daumiere
https://commons.wikimedia.org/entity/M36248402,File:Pa's ei 01.jpg,,,,,,,,Children eating; Easter 1928; Easter eggs,,
https://commons.wikimedia.org/entity/M81644319,File:Partner of Yrjö Saastamoinen ca1924.jpg,,,,,,,,Female diplomats of Finland,,
https://commons.wikimedia.org/entity/M62629020,"File:Portret van de heraut Nassau-Vianden - Portrait of the herald of Nassau-Vianden - Wapenboek Nassau-Vianden - KB 1900 A 016, folium 01v.jpg",,,,,,,,Heraldic tabards; Officers of arms; Wapenboek Nassau-Vianden (ca. 1490) - KB 1900A016,Q72752498,Wapenboek Nassau-Vianden
https://commons.wikimedia.org/entity/M62629146,"File:Portret van de heraut Nassau-Vianden - Portrait of the herald of Nassau-Vianden - Wapenboek Nassau-Vianden - KB 1900 A 016, folium 17v.jpg",,,,,,,,Heraldic tabards; Wapenboek Nassau-Vianden (ca. 1490) - KB 1900A016,,
https://commons.wikimedia.org/entity/M182663587,"File:Portret van een jongeman in zijn studeervertrek 1656, 1829 - BBB-729.jpg",,"Portret van een jongeman in zijn studeervertrek, 1656, [1829]",,,,,,Beeldbank Nederlandse Boekgeschiedenis,,
