file,title,file_caption_en,file_caption_nl,depicts_P180,depicts_P180_label_en,depicts_P180_description_en,depicts_P180_label_nl,depicts_P180_description_nl,categories,wikidata_usage,wikidata_label
https://commons.wikimedia.org/entity/M83032350,File:Onze Afgevaardigden (1901) - Lambert de Ram.jpg,"Portrait of Lambert de Ram, politician (1842-1917)","Portret van Lambert de Ram, Nederlands politicus (1842-1917)",Q13747459,Lambert de Ram,politician (1842-1917),Lambert de Ram,Nederlands politicus (1842-1917),Lambert de Ram; Onze Afgevaardigden (1901),Q13747459,Lambert de Ram
https://commons.wikimedia.org/entity/M83032016,File:Onze Afgevaardigden (1901) - Leo van Nispen.jpg,"Portrait of Leo van Nispen, politician (1839-1901)","Portret van Leo van Nispen, Nederlands rooms-katholiek politicus (1839-1901)",Q20734897,Leo van Nispen,politician (1839-1901),Leo van Nispen,Nederlands rooms-katholiek politicus (1839-1901),Leo van Nispen; Onze Afgevaardigden (1901),Q20734897,Leo van Nispen
https://commons.wikimedia.org/entity/M83032142,File:Onze Afgevaardigden (1901) - Lodewijk Duymaer van Twist.jpg,"Portrait of Lodewijk Duymaer van Twist, Dutch politician (1865-1961)","Portret van Lodewijk Duymaer van Twist, Nederlands politicus (1865-1961)",Q1825890,Lodewijk Duymaer van Twist,Dutch politician (1865-1961),Lodewijk Duymaer van Twist,Nederlands politicus (1865-1961),Lodewijk Duymaer van Twist; Onze Afgevaardigden (1901),,
https://commons.wikimedia.org/entity/M83032106,File:Onze Afgevaardigden (1901) - Lodewijk Henrick Johan Mari van Asch van Wijck.jpg,"Portrait of Lodewijk Henrick Johan Mari van Asch van Wijck, Dutch politician (1858-1934)","Portret van Lodewijk Henrick Johan Mari van Asch van Wijck, Nederlands politicus (1858-1934)",Q3955910,Lodewijk Henrick Johan Mari van Asch van Wijck,Dutch politician (1858-1934),Lodewijk Henrick Johan Mari van Asch van Wijck,Nederlands politicus (1858-1934),Lodewijk Henrick Johan Mari van Asch van Wijck; Onze Afgevaardigden (1901),Q3955910,Lodewijk Henrick Johan Mari van Asch van Wijck
https://commons.wikimedia.org/entity/M83032300,File:Onze Afgevaardigden (1901) - Louis Michiels van Verduynen.jpg,"Portrait of Louis Michiels van Verduynen, Dutch politician (1855-1929)","Portret van Louis Michiels van Verduynen, Nederlands politicus (1855-1929)",Q2471070,Louis Michiels van Verduynen,Dutch politician (1855-1929),Louis Michiels van Verduynen,Nederlands politicus (1855-1929),Louis Michiels van Verduynen; Onze Afgevaardigden (1901),,
https://commons.wikimedia.org/entity/M83031992,File:Onze Afgevaardigden (1901) - Léon Armand Hyacinthe Magnée.jpg,Portrait of LÃ©on Armand Hyacinthe MagnÃ©e (1840-1902),Portret van LÃ©on Armand Hyacinthe MagnÃ©e (1840-1902),Q20734892,Léon Armand Hyacinthe Magnée,politician (1840-1902),Léon Armand Hyacinthe Magnée,Nederlands rooms-katholiek politicus (1840-1902),Léon Armand Hyacinthe Magnée; Onze Afgevaardigden (1901),Q20734892,Léon Armand Hyacinthe Magnée
https://commons.wikimedia.org/entity/M83032357,File:Onze Afgevaardigden (1901) - Martin de Ras.jpg,"Portrait of Martin de Ras, politician (1847-1920)","Portret van Martin de Ras, Nederlands politicus (1847-1920)",Q3113221,Martin de Ras,politician (1847-1920),Martin de Ras,Nederlands politicus (1847-1920),Martin de Ras; Onze Afgevaardigden (1901),Q3113221,Martin de Ras
https://commons.wikimedia.org/entity/M83032086,File:Onze Afgevaardigden (1901) - Maurits van Asch van Wijck.jpg,"Portrait of Maurits van Asch van Wijck, Dutch politician (1850-1910)","Portret van Maurits van Asch van Wijck, Nederlands politicus (1850-1910)",Q2178679,Maurits van Asch van Wijck,Dutch politician (1850-1910),Maurits van Asch van Wijck,Nederlands politicus (1850-1910),Maurits van Asch van Wijck; Onze Afgevaardigden (1901),,
https://commons.wikimedia.org/entity/M83032247,File:Onze Afgevaardigden (1901) - Maximilien Joseph Caspar Marie Kolkman.jpg,"Portrait of Maximilien Joseph Caspar Marie Kolkman, Dutch politician (1853-1924)","Portret van Maximilien Joseph Caspar Marie Kolkman, Nederlands politicus (1853-1924)",Q2676494,Maximilien Joseph Caspar Marie Kolkman,Dutch politician (1853-1924),Maximilien Joseph Caspar Marie Kolkman,Nederlands politicus (1853-1924),Maximilien Joseph Caspar Marie Kolkman; Onze Afgevaardigden (1901),,
https://commons.wikimedia.org/entity/M83032434,File:Onze Afgevaardigden (1901) - Meinard Tydeman.jpg,"Portrait of Meinard Tydeman, Dutch politician (1854-1916)","Portret van Meinard Tydeman, Nederlands politicus (1854-1916)",Q2542784,Meinard Tydeman,Dutch politician (1854-1916),Meinard Tydeman,Nederlands politicus (1854-1916),Meinard Tydeman (1854-1916); Onze Afgevaardigden (1901),,
